Job Title,AB_low,AB_med,AB_high,BC_low,BC_med,BC_high,MB_low,MB_med,MB_high,NB_low,NB_med,NB_high,NL_low,NL_med,NL_high,NT_low,NT_med,NT_high,NS_low,NS_med,NS_high,ON_low,ON_med,ON_high,PE_low,PE_med,PE_high,SK_low,SK_med,SK_high,YT_low,YT_med,YT_high,QC_low,QC_med,QC_high
"Support occupations in motion pictures, broadcasting, photography and the performing arts",15.5,24.48,36,14.6,27,35.39,14,20.74,29.4,,,,13,19.5,30,,,,12.55,19.8,34,14.32,19.1,32.27,,,,,,,,,,15,24,35
Announcers and other broadcasters,15.7,28.94,86.81,14.6,23.27,52.77,,,,14.5,20.19,23.52,12.15,20.19,57.69,,,,12.55,20.19,57.69,14.25,25.64,44.23,,,,11.45,23.32,42.74,,,,15,24.5,51.44
"Other performers, n.e.c.",,,,,,,,,,,,,,,,,,,,,,14.25,14.25,18,,,,,,,,,,,,
Graphic designers and illustrators,19,26.55,40,17,27,43.27,13,20.19,31.5,14,19.23,33.59,14.5,21.39,34.25,,,,14.5,21.39,34.25,15,25.64,40.87,14.5,18,36.86,15,24.04,29.14,,,,16.41,27.88,40.87
Interior designers and interior decorators,15,25,35.8,19,26,34.62,15.5,24.04,39.01,13.5,19.5,35.16,,,,,,,13.5,19.5,35.16,15,20,42.8,,,,20,21,31.25,,,,15,20,40
"Theatre, fashion, exhibit and other creative designers",15,20.41,35,23,26.5,43.27,,,,,,,,,,,,,,,,15,24.5,44.62,,,,,,,,,,13.25,20.26,30
Artisans and craftspersons,15,19.5,29.21,14.6,18.5,30,,,,11.7,12.5,16.7,,,,,,,12.55,14,24.5,14.25,17.13,25,,,,,,,,,,13.1,15,24.06
"Patternmakers - textile, leather and fur products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.91,24.63,35.55
Athletes,17.5,22.5,40.67,,,,,,,,,,,,,,,,,,,15,22.5,46.93,,,,,,,,,,,,
Coaches,15,24.73,43.27,15,24,30,,,,11.7,15,26.44,,,,,,,12.55,15,26.44,14.25,20,38.46,,,,,,,,,,14.5,21.75,33.83
Sports officials and referees,,,,,,,,,,,,,,,,,,,,,,14.25,17,23.08,,,,,,,,,,13.1,15,20.83
"Program leaders and instructors in recreation, sport and fitness",15,18.5,38,14.6,19,30.22,11.9,15,23,11.7,13,20,12.15,14,24,,,,12.55,14,25,14.25,15.51,25.82,12.85,13,20,11.75,16.31,25,,,,13.1,15,25
Retail sales supervisors,15,20,30.29,14.6,20.76,31.25,12.5,19,28.85,12.25,17.52,26.44,12.15,16.92,26.67,,,,12.55,15.75,26.92,14.25,18.27,31.25,12.85,16,25.97,13,20,31.98,,,,13.1,17,28.75
Technical sales specialists - wholesale trade,17,31,48.08,15,24.04,40.6,14,24,40.87,12.5,20,30.77,12.75,20.19,35.1,,,,12.55,21.37,31.25,14.5,24.84,40.25,14,21.73,36.06,15.3,28.17,48.72,,,,15,23.75,40.87
Retail and wholesale buyers,16.25,28.67,45,15.38,23.08,29.28,14,21.63,31.67,14.42,21.63,29.33,15.5,21.63,28.85,,,,12.55,22.6,34.62,15,21.63,33.65,12.85,21.15,30.77,12.5,25,37.77,,,,14.6,22.6,29.5
Insurance agents and brokers,15.78,26.68,40.14,16,23.08,35.96,14.3,23.5,34.36,16.43,22.67,32.5,17.15,22.82,29.67,,,,13.2,20.24,28.85,17,25.27,35.71,14.42,20.51,31,16.56,25,40,,,,16.48,24,34
Real estate agents and salespersons,31668,47398,130309,30748,54354,139847,25061,48408,137428,24640,50332,97632,25588,61130,205038,,,,,,,30085,45586,140661,,,,24173,53162,116249,,,,27452,39562,103711
Financial sales representatives,16.88,26.67,43.59,18.67,26.67,41.03,15,24.04,35,15,22.6,31.25,15,22.45,38.46,,,,15,22.56,30.22,15,24,37.98,13.07,20,36.16,15.87,27.85,40,,,,15.71,22.93,38.5
Food service supervisors,15,16.9,24.04,14.6,15,25,11.9,14,21.54,12,13,17.31,12.15,13.48,22.15,,,,12.55,13.18,17.79,14.25,15.75,21.63,12.85,13.75,23,11.45,14,26.2,,,,13.1,14.89,21.25
Executive housekeepers,16.01,21,27.88,14.6,16.75,23.17,12,15.91,21.5,11.75,14,18.57,12.15,15,19,,,,12.55,14.5,17.02,14.25,17.5,23.87,12.85,16,17.54,11.5,15.2,21.64,,,,13.5,18.99,40.86
"Accommodation, travel, tourism and related services supervisors",19,23,26.92,17,21.54,30,14.5,20.19,33.25,,,,,,,,,,13,16,25,15.3,22,29.54,13.46,15.55,27.4,14,23.63,34.5,,,,14.62,24.73,48.08
Customer and information services supervisors,16,27,35.58,14.6,26,36.06,13.5,18,27.69,15,20.67,33.39,16.11,18.5,43.59,,,,13.75,16,25,15.87,23.5,36.41,13.75,19.23,24.04,16.25,28.27,42.5,,,,15,24.76,37.36
Cleaning supervisors,15,25,36,16.83,26.92,42.74,13.5,21,31,13.5,23.35,33.17,12.15,17.25,33.9,,,,15,20.19,28.72,14.25,24.04,36.26,15,20,28.75,14.4,23,30,,,,15,20,30
Other services supervisors,15,24,38.46,14.6,20.67,25.64,12.5,19.23,29.95,12.5,18.88,25.96,12.15,20,35.49,,,,12.55,16.83,26.62,14.75,19.2,33,12.85,16.08,24.04,13,21.73,36,,,,15.2,20,26.44
Chefs,15.2,19,29.74,14.6,17.31,25.25,11.9,14.5,26.44,11.7,16,24,12.15,16,25.64,,,,12.55,16.12,26.44,14.25,17.5,25,14,17.5,24.45,13,18.5,30.47,,,,13.1,18,25
Cooks,15,15.5,20.51,14.6,14.75,20.5,11.9,13,19.71,11.7,12.75,18,12.15,13.5,25.05,16.15,22,29.17,12.55,13,17.5,14.25,14.5,18.5,12.85,14,21.5,11.45,14.25,21.17,15.5,21,32,13.1,14,20
"Butchers, meat cutters and fishmongers - retail and wholesale",15,18,32,14.6,17,26.5,11.9,15,22,12.6,15,23,13.84,16,25.64,,,,12.55,14.5,19.82,14.25,16,27,12.85,13,18.52,13,16,24.51,,,,13.1,16,21
Bakers,15,15,23.5,14.6,15,27,11.9,12.4,20,11.7,11.7,14,12.15,13,16.95,,,,12.55,12.75,17.91,14.25,14.25,18,12.85,13.15,16,12,15,22.5,,,,13.1,14,18
Hairstylists and barbers,15,18.71,28.85,14.6,15.38,24.98,11.9,15,20.83,11.7,15,20.94,12.15,15.03,20.6,,,,12.55,13.11,18.75,14.25,15,25.3,12.85,14.5,18.52,11.45,15,25.96,,,,13.1,14.77,18.03
"Tailors, dressmakers, furriers and milliners",15,17,24,14.6,16.28,28.82,11.9,15,19.25,11.7,13.5,16.96,,,,,,,12.55,13.75,27,14.25,15,23,,,,12,15,24,,,,13.1,15,18
Shoe repairers and shoemakers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,14.5,19.38
"Jewellers, jewellery and watch repairers and related occupations",,,,,,,,,,,,,,,,,,,,,,14.25,19.27,28.12,,,,,,,,,,13.1,16,21
Upholsterers,15,17.01,27.17,14.6,19.23,33.61,,,,,,,,,,,,,,,,15,20,29,,,,,,,,,,13.1,16.22,24
Funeral directors and embalmers,20,26.44,40,14.6,22,26.5,13.75,19.23,29.26,,,,,,,,,,12.55,18.75,28.85,14.25,20.19,37.5,,,,17,25.24,32.5,,,,15,19.75,31.6
Sales and account representatives - wholesale trade (non-technical),17,30.77,46.15,14.6,25.96,42.31,15,26.44,42.31,14,21.15,34.62,13,22,34.67,,,,13,21.63,32.69,14.8,24.04,38.46,14,20.5,32.21,17.4,30,44.27,,,,14.38,23.08,36.92
Retail salespersons,15,15.24,25.38,14.6,14.63,25,11.9,12.75,22.6,11.7,12.75,20,12.15,12.7,21.5,15,16.82,24.25,12.55,12.55,20.34,14.25,14.5,23.56,12.85,13,20.35,11.45,14,25,14.25,16.5,29.9,13.1,13.1,21
Maîtres d'hôtel and hosts/hostesses,15,16,25,14.6,14.75,22,11.9,13.5,22.25,11.7,12.95,20.54,12.15,12.15,22.6,,,,12.55,14,20,14.25,14.75,21.63,12.85,13.75,20,11.45,12.53,21,,,,13.1,14,26.44
Bartenders,15,15,18.92,14.6,16,22,12,14,24,11.7,13.5,17,12.15,12.7,20,,,,12.55,13,15.95,14.25,16,25,12.85,12.85,20,11.45,14.8,20,,,,13.1,17,28
Food and beverage servers,15,16,25,14.6,15,22,11.9,13,20,11.7,13,20,12.15,13,23,,,,12.55,13,18,14.25,15,22,12.85,12.85,20,11.45,13.9,20,13.71,13.71,16,13.1,16,27
Travel counsellors,15,21.98,30.29,14.6,19,28.02,11.9,17.57,30.94,13.7,19.57,33.33,13.7,19.57,33.33,,,,13.7,19.57,33.33,14.25,19.26,26.44,12.85,20,23.08,15,18.27,25,,,,14,20,24.73
Pursers and flight attendants,15,25.35,45,14.6,26,47,14,25,43.27,,,,,,,,,,12.55,24,33.65,14.25,20.48,35,,,,,,,,,,,,
Airline ticket and service agents,15.75,20,27,14.6,16.83,27.5,13,17,27,,,,,,,,,,13.2,17.95,27.41,14.25,18,29.87,,,,,,,,,,13.1,18,27.41
"Ground and water transport ticket agents, cargo service representatives and related clerks",15,20,30.87,14.6,20.6,28.39,12.5,18.97,30.29,11.7,16.2,24.57,12.15,16.32,28.03,,,,12.55,15,28.42,14.25,17.25,27.56,,,,,,,,,,13.1,17.5,27.41
Hotel front desk clerks,15,16.35,19.23,14.6,15,22,11.9,14,20.19,11.7,14.15,21.08,12.25,14.1,17.73,,,,12.55,13,14.87,14.25,15,25,12.85,13,15.93,11.45,13.5,16.25,,,,13.1,15.5,23.55
Tour and travel guides,15,18,23.95,14.6,16.5,25,,,,11.7,13,18.2,12.15,15,24,,,,12.55,14.75,20,14.25,15,21.66,,,,,,,,,,13.1,15,21.63
Outdoor sport and recreational guides,15,18,30.4,16,20,31.25,13,15.01,21.5,12,15.54,19.2,12.5,16.66,21,,,,,,,14.25,17.5,25,,,,13.25,17.74,25,,,,13.1,15,20
Casino occupations,15,16,20,14.6,20,25,14.65,19,23,,,,,,,,,,14,18,23.5,14.25,22,27,,,,16,19,22,,,,16.25,25,30.22
Security guards and related security service occupations,15,18.75,29.93,14.6,17,32,12.5,15.25,24.85,11.7,14,23.67,12.15,15,23,16,20,23,12.55,14,22.86,14.25,16,26.8,12.85,14,24,13,16,27.6,,,,15,18,25
Customer services representatives - financial institutions,15.65,19,25.94,15,18.6,26.25,14,17,21.03,12.95,17.26,22.56,13,15.5,20.62,,,,13.68,18,23.08,14.25,18,25.9,14.6,16.25,22.56,15,19,25.64,,,,15.25,18.75,25
Other customer and information services representatives,15,21,29.5,14.6,21.15,31.25,11.9,15.91,28.85,12,15.33,24.62,12.15,17.5,28.72,,,,12.55,14.13,25,14.25,17.81,28.85,12.85,13.5,24.75,13,23,32.05,,,,13.1,19.6,29.49
"Image, social and other personal consultants",,,,,,,,,,,,,,,,,,,,,,14.25,16.71,39.22,,,,,,,,,,13.1,17.27,40.01
"Estheticians, electrologists and related occupations",15,17.31,25,14.6,15,26,11.9,14.42,18.5,11.7,15,17.5,12.5,14,25,,,,12.55,14,23.08,14.25,15,23.08,12.85,14.5,21.1,11.45,15,22.12,,,,13.1,15,22
Pet groomers and animal care workers,15,17.5,29.17,14.6,14.6,20,11.9,14.4,22.86,11.7,13,19.23,12.15,13,19.23,,,,12.55,13,15.38,14.25,14.9,20.9,,,,11.45,14,18,,,,13.1,13.1,19.47
Other personal service occupations,,,,,,,,,,,,,,,,,,,,,,14.25,16,32,,,,,,,,,,,,
Cashiers,15,15,19,14.6,14.6,20.6,11.9,11.9,15,11.7,11.7,13.5,12.15,12.15,14.25,14,16,20,12.55,12.55,13,14.25,14.25,15.87,12.85,12.85,14.83,11.45,12,18,13.71,16,25,13.1,13.1,15.33
Service station attendants,15,15,18.32,14.6,14.6,15,11.9,12,14.9,11.7,12.75,15,12.15,12.15,12.15,,,,12.55,12.55,13.05,14.25,14.25,17,,,,11.45,12.35,16.24,,,,13.1,13.1,15
"Store shelf stockers, clerks and order fillers",15,15.3,24,14.6,14.6,24.04,11.9,12.5,19.5,11.7,13,17,12.15,12.15,15,13.46,16.4,30.77,12.55,12.55,17.19,14.25,14.25,18.35,12.85,12.85,14.65,11.45,12.13,20.55,,,,13.1,13.1,16.74
Other sales related occupations,15,15,20,14.6,14.6,17,11.9,12.9,26.44,11.7,14,19.95,,,,,,,12.55,13,21.69,14.25,15,22,,,,11.45,14,28.27,,,,13.1,15,26.44
"Food counter attendants, kitchen helpers and related support occupations",15,15,19,14.6,14.6,18,11.9,12,16.08,11.7,12,16.99,12.15,12.15,20,15,17,22.5,12.55,12.55,16,14.25,14.25,18,12.85,12.85,18,11.45,12.15,19.49,14,16.63,26.87,13.1,13.1,19
"Support occupations in accommodation, travel and facilities set-up services",15,15.64,17.67,14.6,17,25,,,,,,,,,,,,,,,,14.25,16,28,,,,,,,,,,13.1,16.25,23.32
"Operators and attendants in amusement, recreation and sport",15,15,25,14.6,14.6,24.1,11.9,13.38,21.63,11.7,14,25,12.15,12.15,22.22,,,,12.55,12.55,16,14.25,14.5,22,12.85,12.85,18.76,11.45,13,23.84,,,,13.1,13.1,23
Light duty cleaners,15,16,21,14.6,16,21.82,11.9,14.2,18.1,11.7,14,18.65,12.15,15,20,15,17,24,12.55,13.45,17.39,14.25,15.2,22.5,12.85,14,19.81,11.45,15,22,14.5,18,23.79,13.1,17,20.8
Specialized cleaners,15,18,30,14.6,16,26,11.9,14,21,11.7,15,16,12.15,13,24,,,,12.55,13,17.5,14.25,15.5,24,12.85,13,17.5,12,15,27,,,,13.1,15.5,24
"Janitors, caretakers and building superintendents",15,20.67,29.5,14.6,20,29,11.9,18.5,25,11.7,16,21,12.15,19.99,22.83,17,24,32.14,12.55,17.4,24.29,14.25,20,27,12.85,17.76,22.05,11.54,18.69,27.88,17,24.85,34.41,13.1,18,25
"Dry cleaning, laundry and related occupations",15,15.25,21,14.6,17,20.7,11.9,16,19,11.7,15.99,21,12.15,15.35,20.5,,,,12.55,15.16,17,14.25,16,21.78,12.85,19,21.83,12,16,19,,,,13.1,17,19.81
"Other service support occupations, n.e.c.",15,15,19,14.6,16,21,11.9,12.25,19.52,11.7,13,17.5,12.15,12.15,19.97,,,,12.55,12.55,18.13,14.25,14.45,25,,,,12,14.01,18,,,,13.1,13.1,18
"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",30,40,50,25,33.5,43.27,19.23,31,50,,,,,,,,,,,,,25,35,46,,,,25,41,60,,,,22,28.85,40
"Contractors and supervisors, electrical trades and telecommunications occupations",29.96,41.52,56,23,36.79,50.85,24.88,40.7,52.87,18.05,31,55,23.52,39.42,50,,,,18,38,53.24,18.61,35.5,51,,,,25.9,39.89,52.52,,,,21.72,40,46.73
"Contractors and supervisors, pipefitting trades",30,45,52.79,27,41.04,53.29,16,38.93,50,21.88,40,52,24.5,44.95,53,,,,28.6,45,53.87,25,46,55,,,,20.91,42.83,50,,,,34.7,41,49.41
"Contractors and supervisors, carpentry trades",23,36,45.19,22,33,40.38,18.75,31.5,40,17,25,45,18.27,27,43,,,,18,27,40,20.43,30.59,52.5,17.25,25.5,30,24,35.2,45,,,,24.04,35,45
"Contractors and supervisors, other construction trades, installers, repairers and servicers",25,35,50,20,35,48.08,21,30,42,15.38,26.44,38.5,17,26,45,,,,20,29,40,19.23,30.77,45.54,19,29,42.79,23,30,40.38,,,,20,33.33,45
Machinists and machining and tooling inspectors,22,32,40.77,25,34,41.85,20,28.35,34.7,16.75,21,26.5,15,24,35,,,,22,26.35,33.5,16.5,25,35,16.94,20,34.62,18,30,40.87,,,,16.88,24,34.33
Tool and die makers,,,,16.84,28.13,40.54,,,,,,,,,,,,,,,,19,28.75,37,,,,,,,,,,13.1,26.16,42.63
Sheet metal workers,18.63,28,40.93,19.5,27.88,39.83,18,28.5,38.1,18,26,34.79,19.85,30,42.72,,,,17,27.02,36.65,18,30,41.63,,,,19.72,30,42.33,,,,22,37.85,40.43
Boilermakers,32,43.77,47,33.11,43.35,48,36,43,48,35.25,39.82,45,34.92,40,45,,,,34.17,41,45,26,42.51,48.91,,,,39,44.1,46.69,,,,30.35,41.47,43.35
Structural metal and platework fabricators and fitters,21.22,32,41.8,20,30.22,40,16,23,29.67,16.5,23.73,36,23.5,34.46,40,,,,18.53,28,34.84,18,24.5,31.74,,,,18.2,26.59,37.25,,,,15.5,22.64,39.93
Ironworkers,25,36.33,42.85,23,33.87,42.95,19,29,39.93,23,38,43,30.11,38,42,,,,25.28,34.58,40,28.45,40,44.56,,,,25,39,42.63,,,,25,39.93,42.86
Welders and related machine operators,22,32,45.28,22,29,42.26,16,23,33.77,15,21.5,34.57,20.9,31,42.5,,,,19,28,36.03,17.85,23.5,34,15,20.76,25,20,27,43,,,,17,22.5,31
Electricians (except industrial and power system),20,36,45,16.26,28,39,18.7,35,43.81,15,25,34.5,17.95,28,42.66,19.65,28,42,17.2,26,38.12,17.31,31,45,15,22,28,18,32.6,44.25,21.5,29.75,39.5,19.8,38,40.65
Industrial electricians,18.5,38,63,29,39,48.29,22.5,36,40,16.07,26,34.52,20.77,40,51,,,,22.5,30.96,36.43,22,35,42.79,,,,28.5,40,50.56,,,,20.51,33.5,46
Power system electricians,,,,33,42,46.6,31.25,43.7,46,,,,37,40,44.37,,,,,,,28,42.22,57.13,,,,36,43.5,52.16,,,,28,40.05,50
Electrical power line and cable workers,25,42.5,56.5,34,43,54.73,21,36,50,15,35,40,21.95,40,45,,,,15.85,35,41.1,20,36,46.14,20,35,40,20,37.5,46.32,,,,26.44,38.5,44.3
Telecommunications line and cable workers,21.6,25.96,48.08,25.5,29.3,36,15.6,28,44.1,,,,13,30.7,32.97,,,,13,30.7,32.97,17,26.44,40,,,,,,,,,,17,27,37
Telecommunications installation and repair workers,20.44,30,36.06,15.71,29.57,35,19,32,36,20.56,32.69,38.46,18.5,31,33,,,,20,31,32.97,16.83,25,39,,,,18,34,38.73,,,,17,28,40
Cable television service and maintenance technicians,20,33.11,49.19,20,34,42.31,,,,,,,,,,,,,,,,18,24,40,,,,,,,,,,,,
Plumbers,18.26,32,43.25,15,30,39.86,17,29.5,40,17,24,29.75,18,25.66,36,,,,12.55,22,30.22,17,30,44,13,25,32.22,18,30,39,21.55,25.5,36,20,36,40
"Steamfitters, pipefitters and sprinkler system installers",26,42,45.91,22,38,45.67,20.42,38.19,45.15,22.9,39.49,45.04,26,39.59,45.54,,,,22.84,39.22,47.55,24.35,40.96,47.14,,,,26.13,42,45.05,,,,20.65,39.59,43
Gas fitters,27,40,48.83,25,33,43,21.61,35.64,47.82,23,27,35,,,,,,,23,27,35,18,28,37.29,,,,25,36,43,,,,16.75,32.5,44
Carpenters,19,28,38,19.45,27.5,35,15,23,35,15,19.5,27.5,16,23,36,20.9,28,38.25,14,20.67,33.63,17,25,37.5,15,19,24,18.18,25,35.5,21.5,28.77,36,18,30,39.1
Cabinetmakers,16.5,22.5,30,17,22,30,15,20,26,14.5,18,21,,,,,,,,,,15.5,21,28,,,,,,,,,,15.5,18,35
Bricklayers,26,37.5,46.15,24,34,45.28,22,36.15,38.52,18,26,45.45,24,35,43.28,,,,18,26,40,21,34,41.9,18,27,33.06,26,36.07,42.44,,,,23,36,39.58
Concrete finishers,23.45,30,35,22,29.5,36.08,18,25.42,33.37,16,20,25,20,34.98,42.66,,,,17.33,22,25.5,20,30.3,38.54,,,,20,25,33,,,,24.57,32.95,38.77
Tilesetters,19,25,35,17,25,35,,,,,,,,,,,,,,,,19,30.52,38.74,,,,,,,,,,21.75,33.01,40
"Plasterers, drywall installers and finishers and lathers",20,26.37,36.46,19,27,34.39,17,25,30.5,18,24.48,27,19,24,33,,,,20,29.15,35.45,20,31.58,41.48,,,,18,25,32,,,,22.61,34.25,39.1
Roofers and shinglers,20,25,35,19.48,26,34,17,23,32.36,16,20,28.25,17,21,28.92,,,,16,20,28,18,24,35,15,18,25,18,24,31.51,,,,21.5,30,40
Glaziers,19.94,25,34,18,26,34.09,14.92,23.25,31.45,15,19.52,26,,,,,,,14.42,21,30.13,17,27.5,38.34,,,,16.75,22,28,,,,20,32.27,39.69
Insulators,21.34,34.14,42.68,20,31.42,41.87,19.6,32.68,35.68,18,27,35.68,25,38,48.16,,,,17.6,33,42.68,18,33.66,41.93,,,,21,33.83,41.97,,,,17,28.5,32.87
Painters and decorators (except interior decorators),18,25,34,17,23.5,30,15,22,27,15,18,25,16,20,35,,,,15,18.2,29.47,16.25,21,30,13,17,25,16,22.63,30.64,,,,20,31.71,37.66
Floor covering installers,16,25,25,16,21,31.5,15,21.5,32.5,14.29,18.57,25,14,17.44,27,,,,14,17.44,27,14.25,21.25,35.35,,,,,,,,,,16,24,36.84
"Contractors and supervisors, mechanic trades",24.23,39.42,55.94,24,37,52.66,19.23,32.65,49.83,15,26,32.21,23,27.6,46,,,,14,26,38.46,16.83,33,48,17,24,33.55,21,35.82,58,,,,19,28.35,48
"Contractors and supervisors, heavy equipment operator crews",25.64,39,52.88,22.12,35,50,23.5,32,43.27,18,25,38,22,30,47.12,,,,15,25.6,31.25,20,35,53.42,16,21.44,30.84,25,33.66,50,,,,19.33,34,50
"Supervisors, printing and related occupations",,,,14.6,25.93,43.76,,,,,,,,,,,,,,,,18.5,28.85,43.96,,,,,,,,,,17,24.04,35.9
"Supervisors, railway transport operations",20,38.46,68,,,,31.25,40.87,50.99,,,,,,,,,,,,,27,36.77,42,,,,,,,,,,,,
"Supervisors, motor transport and other ground transit operators",21.15,32.69,47,15.38,25.7,46.15,14.5,28.85,42,17.53,25.15,31.19,,,,,,,17.53,27.19,48.08,16.88,25.48,44.62,,,,17,25,41.83,,,,15.9,25,45.67
Construction millwrights and industrial mechanics,23,40,57,21.62,33,44.88,18,27.5,42.79,16.9,27.5,38.68,18.21,35,47,,,,14.5,26,35,19,30,41,15,23,28.5,20,38.38,50.91,,,,19.83,27,38.25
Heavy-duty equipment mechanics,25,38.46,52.88,24.04,38,48,20,30.05,43,16.5,26,40,18,30,45,,,,16,26,39,18,30,43,15,23,35,21.45,34,45,,,,18.75,27.4,41.16
Refrigeration and air conditioning mechanics,20,36,48,17.41,32,48,18,30,43,16,26,39.35,17,26,40,,,,17,26,42.5,17,32,49.29,17,26,40,20,35,53.01,,,,24,35,42.5
Railway carmen/women,35,37,41,30.93,34.52,40,17.5,38,40,,,,,,,,,,,,,23,33.37,39,,,,26.69,31,38,,,,23.8,35.42,54.09
Aircraft mechanics and aircraft inspectors,17.39,31.25,41,16,30,43.59,16,29.35,45.19,17.31,27.58,48,12.15,25.44,50,,,,17.31,27.58,48,17.5,34,48,19,20.76,25,17.31,36,46,,,,15,25,41.54
Machine fitters,,,,,,,,,,,,,,,,,,,,,,15.87,27.89,45.69,,,,,,,,,,15.45,34.58,46.34
Elevator constructors and mechanics,25.67,48.12,72.36,28.77,49.17,69.62,,,,,,,,,,,,,,,,15,37.93,54,,,,,,,,,,24.25,37,44.21
"Automotive service technicians, truck and bus mechanics and mechanical repairers",19,32,44.17,15.38,28,41.35,13.75,22,34.5,14.5,20,26,15,26,36.13,14.56,37.73,52.29,13.5,22,32,15,24.04,37,13,18,24,16,30,39.7,,,,15,23.3,33.19
Motor vehicle body repairers,19.23,28,40,16.75,25.48,40,15,21.43,32,15,19,30,16,26.5,36.5,,,,17.25,23,36.06,14.25,20,33.78,16.24,20,26.47,18,24,38,,,,14.75,22.5,33.5
Oil and solid fuel heating mechanics,19.5,28.45,37.5,,,,,,,,,,16.25,22.5,32.16,,,,16,22,33,16,23,33.98,,,,,,,,,,15,21,35.01
Appliance servicers and repairers,17,25,37.79,14.6,23.84,42.05,,,,19,21.25,50,,,,,,,19,21.25,50,15,20,30,,,,,,,,,,13.1,19,26.5
Electrical mechanics,15,40.79,67.2,18.24,39.66,62.18,,,,,,,,,,,,,,,,16.6,31.8,52.01,,,,,,,,,,19.62,25,35
"Motorcycle, all-terrain vehicle and other related mechanics",,,,15,28,35,,,,16,21,29.53,,,,,,,16,21,29.53,23,30,37.98,,,,14.5,25.38,30,,,,17,20,42
Other small engine and small equipment repairers,15,26.59,36.11,20,27,33,11.9,21,24.5,,,,13.63,20,25.21,,,,12.55,16,24,14.25,21,26.5,,,,18,22,25,,,,16.75,19,24
Railway and yard locomotive engineers,29,40,50,30.52,40.13,60.1,20,35.58,43.27,,,,,,,,,,,,,19.25,37.82,57.69,,,,17.1,33,53.85,,,,26.81,35,52.88
Railway conductors and brakemen/women,24,34.34,38.75,22,34,41.35,18.5,29,38.46,,,,,,,,,,,,,22.5,37.5,42.31,,,,19,32.36,46.15,,,,21,35.57,44.56
Crane operators,20.19,38,46,22,31.5,41.08,16.85,25.65,40.33,16.5,28.85,38.78,27,30,40,,,,,,,24,30,45,,,,25,34.72,42,,,,20,31.67,46.23
"Drillers and blasters - surface mining, quarrying and construction",22,30,40.8,27,33.46,39.81,19,28,33,18.72,29,36,22.53,29,36.24,,,,16,26.52,35.82,20,29,37.5,,,,20,30,42,,,,21.31,31.71,40
Water well drillers,,,,,,,,,,,,,,,,,,,,,,15.5,21,28,,,,,,,,,,19,25,34.45
Printing press operators,16.5,24.18,34.95,16,24,37.94,14,19.12,26.25,14.25,23.9,36.1,14.25,23.9,36.1,,,,14.55,24,36.1,16,21.63,32,,,,,,,,,,14,23,37.39
"Other trades and related occupations, n.e.c.",21,28.43,43.14,18,28,42,,,,20,22.5,25,18,22.5,30,,,,18,22.5,30,16,24,33.65,,,,13.5,25,40,,,,14,20.8,40
Residential and commercial installers and servicers,18.5,26,37,16,22,35,15.3,22,31,14.45,19.5,30,16,20,25,,,,13.62,19,30,16,21,33,14,19,25.84,17.5,25,34,,,,14,20.5,33.19
Waterworks and gas maintenance workers,20,34.86,48,19.22,31.31,45.87,12.12,27.15,46.2,,,,,,,,,,,,,24,33.65,41.7,,,,22,29.96,41,,,,17.02,29.63,52.28
Pest controllers and fumigators,15,29.23,42.83,14.6,23.7,35.48,,,,,,,,,,,,,,,,16,21.63,35.58,,,,,,,,,,13.1,19.48,33.08
Other repairers and servicers,15,24,36.06,15,19,26,14,20,38,13.5,18.7,36.39,,,,,,,13,18.7,36.39,14.25,20,35.8,15,22,25,17,27.45,32.25,,,,13.1,17.25,29
Longshore workers,,,,25,42,47.32,,,,16,26,40.15,16,24.64,27,,,,16,26,40.15,,,,,,,,,,,,,19,30,36.7
Material handlers,15,21,32,14.6,18,33,12,17.5,27,11.75,16,23.92,12.15,16.25,25,16,22,32.92,12.55,16.5,26,14.25,17.55,26.3,12.85,15,23.08,13.46,19,28.09,,,,13.1,17.42,26.86
Transport truck drivers,18,27,38.06,16.15,26,36,15,21.5,31.73,13.57,18.98,28.13,14,21.06,33.84,25,28,31.75,13.75,20,27.24,15.73,21.98,30.77,13.33,18.49,26.67,16.72,25,35,25,29.56,33,15,20.22,28
"Bus drivers, subway operators and other transit operators",15.38,24,36.3,16.32,27,32.63,12.75,21.81,28.15,15,20,24.04,12.15,20,27.6,20.58,24,27.36,15,22.52,27,14.25,19.23,34,15,21,23.5,13,19.76,27.38,18.5,24.6,28.64,14.1,23.14,31
Taxi and limousine drivers and chauffeurs,15,16.67,23.08,14.6,16.25,23.08,11.9,11.9,19.98,11.7,13.5,20,,,,,,,12.55,15.38,28,14.25,16.5,29,,,,11.45,14.42,25,,,,13.1,13.5,27
Delivery and courier service drivers,15,20,30.78,14.6,16.67,28,11.9,14.5,25.71,11.7,14,25,12.15,14,26,20,24.5,30,12.55,14,26,14.25,18.51,30,12.85,14,26,11.45,17,29,,,,13.1,15,29.6
Heavy equipment operators (except crane),20,30,37,23.5,31,38.34,18,24,31.5,17,20.8,30,19,25,34.58,24.65,28.73,36,17,21.67,32,18.5,25.55,37.36,15.92,18.05,24,20,26.19,36,25,30,35,19,29,38.5
