Job Title,AB_low,AB_med,AB_high,BC_low,BC_med,BC_high,MB_low,MB_med,MB_high,NB_low,NB_med,NB_high,NL_low,NL_med,NL_high,NT_low,NT_med,NT_high,NS_low,NS_med,NS_high,ON_low,ON_med,ON_high,PE_low,PE_med,PE_high,SK_low,SK_med,SK_high,YT_low,YT_med,YT_high,QC_low,QC_med,QC_high
"Correspondence, publication and regulatory clerks",15,26.67,50,18,26.33,34.5,15.52,24,29.67,12.02,20,30,,,,,,,12.55,20.63,26.52,16.21,28.2,35,12.85,21,29.8,15,24.89,36.5,,,,16.5,25,35.9
Survey interviewers and statistical clerks,,,,14.6,19.6,35,11.9,19,33,13.25,15,27,,,,,,,12.55,17.36,23.16,14.25,20,32,,,,,,,,,,13.1,19.45,34
"Mail, postal and related workers",16.25,22.33,28,14.6,23.08,27.16,14,21,27,15,23,26,12.15,23.97,27,,,,12.55,22.81,28,14.5,22,27.59,16,23,26.87,13,22.84,26.87,,,,13.62,21,28
Letter carriers,20,26.58,38.46,20,23,27.23,19.86,26.5,27.17,17.44,25.24,27.05,16.35,23.32,37.5,,,,19.92,26.5,28.33,19.86,26,28.85,18,23,30,19.46,26,33.72,,,,19,26.6,28.85
"Couriers, messengers and door-to-door distributors",15,25.96,44.44,14.6,16,29.16,11.9,15.33,29.34,11.7,20,30,12.15,20,29.5,,,,12.55,19.64,29.79,14.25,15,28,,,,11.45,17.46,30,,,,13.1,17.5,22
Shippers and receivers,15,19.47,28,14.6,19.5,30.39,13.75,18,25.5,12,15.6,21.6,14.75,18,26.5,,,,12.55,16,28.74,14.25,18.11,25.62,12.85,17,25.48,13.81,19.71,28.9,,,,13.1,17,25
Storekeepers and partspersons,19,27.88,43.27,14.6,19.23,35,12.5,24.5,30.3,13.6,20,24.22,16.03,21.75,27.77,,,,14,21.75,35,14.75,19.86,32.47,14,21.75,35,17,22,31.25,,,,16,21.7,33.44
Production logistics co-ordinators,20.19,30.38,49.52,17,25,40,16,22,30.77,17.1,22.6,26,,,,,,,17.15,23.5,37.93,16.83,26.44,34.18,,,,20.19,23.17,33.65,,,,18.6,21.89,34.36
Purchasing and inventory control workers,15,22,32.97,14.6,20,28,13,19.23,25,12.5,16,23,12.15,16.61,26.44,,,,12.55,18.75,26.44,14.25,18,32.6,12.85,19.75,27.18,16,20.54,37.44,,,,13.1,17,26.67
Dispatchers,18,29,44.87,15,26,37.5,13,20.19,41.35,12,20,28,13,21,32,,,,12.55,19.9,28.85,14.25,23,36.34,12.85,20.81,27,15.83,23.07,34.6,,,,15.5,22.24,30.99
Transportation route and crew schedulers,19.23,26.44,42.03,,,,13.84,25,42.21,14,22.05,32,,,,,,,14,22.05,32,16,24.04,33,,,,,,,,,,19,23.5,34.62
Physicists and astronomers,,,,29.77,52.23,75.29,,,,,,,,,,,,,,,,25.83,52.3,81.88,,,,,,,,,,,,
Chemists,24.04,40.96,53.85,18,33.71,59.92,19.71,36.06,47.18,25.96,34.44,44.62,,,,,,,25.96,34.44,44.62,22.36,35.9,51.28,25.96,34.44,44.62,,,,,,,23,31.25,48.08
Geoscientists and oceanographers,28.85,42.07,72,30.53,52.4,64.9,23,43.97,51.23,,,,,,,,,,,,,30.77,44.62,64.1,,,,35.5,45.19,64.9,,,,21.79,39.66,86.81
Meteorologists and climatologists,23.81,48.48,57.82,,,,,,,,,,,,,,,,,,,31.06,45.23,58.13,,,,,,,,,,20.89,47.25,61.31
Other professional occupations in physical sciences,30.06,52.59,76.71,,,,,,,,,,,,,,,,,,,33.52,48.72,73.85,,,,,,,,,,,,
Biologists and related scientists,22.5,38.04,58.5,23.08,38.46,52.8,14,30.77,57.09,20,31.25,48.82,30.23,38,67.31,,,,18.96,37.33,56.41,26.71,41.03,60.36,20,35,56.41,27.4,37.36,76,,,,20,34.62,51.28
Forestry professionals,31.47,45.85,62.75,30.29,39.56,46.7,,,,16.54,33.65,72.82,,,,,,,16.54,33.65,72.82,23.31,39.03,58.25,,,,,,,,,,22.83,39.56,48.08
"Agricultural representatives, consultants and specialists",26.44,36.54,43.27,14.6,30.93,53.63,20,32.69,45.13,,,,,,,,,,,,,14.25,27.73,49.01,,,,22.15,31.73,52.88,,,,17,28.57,42.62
Civil engineers,28.85,47.34,72.12,30.22,44.23,64.42,28.85,40.72,61.06,23,41.83,63.25,27,43.27,55.29,,,,25.5,37.5,52,23.5,38.46,61,26.44,38.46,56.41,28,40.87,62.5,,,,25.24,40,60
Mechanical engineers,34,56.41,72.5,27.18,36.06,57.44,25.48,34.62,61,29.06,40.87,55.29,16.5,46.15,81.73,,,,24.64,40.87,69.74,24.04,38.46,58.24,20.15,30,53.33,27.88,37.5,58,,,,26.5,38.79,57.69
Electrical and electronics engineers,29.25,52,76.92,28.85,43.27,57.69,26.92,47.31,60,30,43,56,38.46,43.59,54.95,,,,23.08,35.1,52.82,24,45,65,,,,31.25,44.31,62.7,,,,26.44,45.13,67.03
Chemical engineers,30,57.69,80.13,27.34,48.88,82.32,,,,26.44,31.25,49.27,,,,,,,,,,21.63,32.69,51.28,,,,20,40.87,58.17,,,,27.47,40.87,55
Industrial and manufacturing engineers,24.5,41.45,68.51,22,32.67,46.91,27.4,38.22,48.98,27.4,37.98,57.26,,,,,,,26.92,32,69.23,22,36.06,57.69,,,,29.5,33.65,57.69,,,,32,41.59,62.5
Metallurgical and materials engineers,31.65,52.05,114.02,23.16,49.65,87.66,,,,,,,,,,,,,,,,29.47,47.46,76.42,,,,,,,,,,28.7,46.81,76.84
Mining engineers,,,,,,,,,,,,,,,,,,,,,,28.59,36.54,60.36,,,,38.46,57.69,80.29,,,,,,
Geological engineers,31.8,51.97,107.02,30.3,48.1,99.61,,,,,,,,,,,,,,,,24.71,43.76,86.6,,,,,,,,,,24.95,43.08,80.09
Petroleum engineers,31.25,58.97,84.13,,,,,,,,,,30.77,41.35,69.71,,,,,,,,,,,,,31.57,40.93,46.05,,,,,,
Aerospace engineers,,,,21.44,38.34,63.19,,,,,,,,,,,,,21,42.35,53.85,24.52,45.67,72.12,,,,,,,,,,28,41.35,63.46
Computer engineers (except software engineers and designers),28.85,46.85,80.77,26.32,40.49,59.26,20.95,42.56,46.15,19,31.25,53.3,19,31.25,53.3,,,,19,31.25,53.3,25,47.69,66.83,,,,38,38.4,40,,,,31.25,42.74,57.69
"Other professional engineers, n.e.c.",22.5,50,72.65,24.04,36.06,57.69,30.77,45,74.52,,,,22.89,35,54.87,,,,20,38.5,62.5,24.04,36.06,58.65,,,,32,38.46,60,,,,28,43.59,58.46
Architects,26.44,42.84,71.11,24.04,33.65,53.42,22.5,37.5,61.54,17,35,75.38,,,,,,,17,35,75.38,20.14,35.9,63.46,,,,,,,,,,24.04,35,57.69
Landscape architects,,,,14.6,32.19,63.48,,,,,,,,,,,,,,,,14.25,35.63,60.41,,,,,,,,,,13.1,28.11,54.03
